Interval,GMTIntervalEnd,MTLF,Averaged Actual,BAA
07/22/2026 00:00:00,07/22/2026 05:00:00,41201,,SPP
07/22/2026 00:00:00,07/22/2026 05:00:00,3600,,SWPW
07/21/2026 23:00:00,07/22/2026 04:00:00,44027,,SPP
07/21/2026 23:00:00,07/22/2026 04:00:00,3891,,SWPW
07/21/2026 22:00:00,07/22/2026 03:00:00,46617,,SPP
07/21/2026 22:00:00,07/22/2026 03:00:00,4002,,SWPW
07/21/2026 21:00:00,07/22/2026 02:00:00,48640,,SPP
07/21/2026 21:00:00,07/22/2026 02:00:00,4091,,SWPW
07/21/2026 20:00:00,07/22/2026 01:00:00,50562,,SPP
07/21/2026 20:00:00,07/22/2026 01:00:00,4125,,SWPW
07/21/2026 19:00:00,07/22/2026 00:00:00,51700,,SPP
07/21/2026 19:00:00,07/22/2026 00:00:00,4147,,SWPW
07/21/2026 18:00:00,07/21/2026 23:00:00,52299,,SPP
07/21/2026 18:00:00,07/21/2026 23:00:00,4141,,SWPW
07/21/2026 17:00:00,07/21/2026 22:00:00,52522,,SPP
07/21/2026 17:00:00,07/21/2026 22:00:00,4059,,SWPW
07/21/2026 16:00:00,07/21/2026 21:00:00,52297,,SPP
07/21/2026 16:00:00,07/21/2026 21:00:00,3997,,SWPW
07/21/2026 15:00:00,07/21/2026 20:00:00,51632,,SPP
07/21/2026 15:00:00,07/21/2026 20:00:00,3885,,SWPW
07/21/2026 14:00:00,07/21/2026 19:00:00,50659,,SPP
07/21/2026 14:00:00,07/21/2026 19:00:00,3745,,SWPW
07/21/2026 13:00:00,07/21/2026 18:00:00,49084,,SPP
07/21/2026 13:00:00,07/21/2026 18:00:00,3595,,SWPW
07/21/2026 12:00:00,07/21/2026 17:00:00,47093,,SPP
07/21/2026 12:00:00,07/21/2026 17:00:00,3443,,SWPW
07/21/2026 11:00:00,07/21/2026 16:00:00,44736,,SPP
07/21/2026 11:00:00,07/21/2026 16:00:00,3333,,SWPW
07/21/2026 10:00:00,07/21/2026 15:00:00,42302,,SPP
07/21/2026 10:00:00,07/21/2026 15:00:00,3235,,SWPW
07/21/2026 09:00:00,07/21/2026 14:00:00,40112,,SPP
07/21/2026 09:00:00,07/21/2026 14:00:00,3142,,SWPW
07/21/2026 08:00:00,07/21/2026 13:00:00,38207,,SPP
07/21/2026 08:00:00,07/21/2026 13:00:00,3064,,SWPW
07/21/2026 07:00:00,07/21/2026 12:00:00,36926,,SPP
07/21/2026 07:00:00,07/21/2026 12:00:00,2974,,SWPW
07/21/2026 06:00:00,07/21/2026 11:00:00,36152,,SPP
07/21/2026 06:00:00,07/21/2026 11:00:00,2965,,SWPW
07/21/2026 05:00:00,07/21/2026 10:00:00,35981,,SPP
07/21/2026 05:00:00,07/21/2026 10:00:00,2992,,SWPW
07/21/2026 04:00:00,07/21/2026 09:00:00,36481,,SPP
07/21/2026 04:00:00,07/21/2026 09:00:00,3070,,SWPW
07/21/2026 03:00:00,07/21/2026 08:00:00,37553,,SPP
07/21/2026 03:00:00,07/21/2026 08:00:00,3185,,SWPW
07/21/2026 02:00:00,07/21/2026 07:00:00,38872,,SPP
07/21/2026 02:00:00,07/21/2026 07:00:00,3304,,SWPW
07/21/2026 01:00:00,07/21/2026 06:00:00,40783,,SPP
07/21/2026 01:00:00,07/21/2026 06:00:00,3488,,SWPW
07/21/2026 00:00:00,07/21/2026 05:00:00,44421,,SPP
07/21/2026 00:00:00,07/21/2026 05:00:00,3809,,SWPW
07/20/2026 23:00:00,07/21/2026 04:00:00,47468,,SPP
07/20/2026 23:00:00,07/21/2026 04:00:00,4049,,SWPW
07/20/2026 22:00:00,07/21/2026 03:00:00,50327,,SPP
07/20/2026 22:00:00,07/21/2026 03:00:00,4190,,SWPW
07/20/2026 21:00:00,07/21/2026 02:00:00,52522,,SPP
07/20/2026 21:00:00,07/21/2026 02:00:00,4335,,SWPW
07/20/2026 20:00:00,07/21/2026 01:00:00,54574,,SPP
07/20/2026 20:00:00,07/21/2026 01:00:00,4417,,SWPW
07/20/2026 19:00:00,07/21/2026 00:00:00,55918,,SPP
07/20/2026 19:00:00,07/21/2026 00:00:00,4458,,SWPW
07/20/2026 18:00:00,07/20/2026 23:00:00,56393,,SPP
07/20/2026 18:00:00,07/20/2026 23:00:00,4456,,SWPW
07/20/2026 17:00:00,07/20/2026 22:00:00,56396,,SPP
07/20/2026 17:00:00,07/20/2026 22:00:00,4375,,SWPW
07/20/2026 16:00:00,07/20/2026 21:00:00,56027,,SPP
07/20/2026 16:00:00,07/20/2026 21:00:00,4295,,SWPW
07/20/2026 15:00:00,07/20/2026 20:00:00,55097,,SPP
07/20/2026 15:00:00,07/20/2026 20:00:00,4177,,SWPW
07/20/2026 14:00:00,07/20/2026 19:00:00,54018,,SPP
07/20/2026 14:00:00,07/20/2026 19:00:00,4013,,SWPW
07/20/2026 13:00:00,07/20/2026 18:00:00,52182,,SPP
07/20/2026 13:00:00,07/20/2026 18:00:00,3833,,SWPW
07/20/2026 12:00:00,07/20/2026 17:00:00,49792,,SPP
07/20/2026 12:00:00,07/20/2026 17:00:00,3651,,SWPW
07/20/2026 11:00:00,07/20/2026 16:00:00,47220,,SPP
07/20/2026 11:00:00,07/20/2026 16:00:00,3503,,SWPW
07/20/2026 10:00:00,07/20/2026 15:00:00,44535,,SPP
07/20/2026 10:00:00,07/20/2026 15:00:00,3365,,SWPW
07/20/2026 09:00:00,07/20/2026 14:00:00,41851,,SPP
07/20/2026 09:00:00,07/20/2026 14:00:00,3232,,SWPW
07/20/2026 08:00:00,07/20/2026 13:00:00,39578,,SPP
07/20/2026 08:00:00,07/20/2026 13:00:00,3114,,SWPW
07/20/2026 07:00:00,07/20/2026 12:00:00,38067,,SPP
07/20/2026 07:00:00,07/20/2026 12:00:00,3008,,SWPW
07/20/2026 06:00:00,07/20/2026 11:00:00,37189,,SPP
07/20/2026 06:00:00,07/20/2026 11:00:00,2983,,SWPW
07/20/2026 05:00:00,07/20/2026 10:00:00,36828,,SPP
07/20/2026 05:00:00,07/20/2026 10:00:00,3031,,SWPW
07/20/2026 04:00:00,07/20/2026 09:00:00,37196,,SPP
07/20/2026 04:00:00,07/20/2026 09:00:00,3108,,SWPW
07/20/2026 03:00:00,07/20/2026 08:00:00,38105,,SPP
07/20/2026 03:00:00,07/20/2026 08:00:00,3228,,SWPW
07/20/2026 02:00:00,07/20/2026 07:00:00,39257,,SPP
07/20/2026 02:00:00,07/20/2026 07:00:00,3362,,SWPW
07/20/2026 01:00:00,07/20/2026 06:00:00,40913,,SPP
07/20/2026 01:00:00,07/20/2026 06:00:00,3549,,SWPW
07/20/2026 00:00:00,07/20/2026 05:00:00,42972,,SPP
07/20/2026 00:00:00,07/20/2026 05:00:00,3835,,SWPW
07/19/2026 23:00:00,07/20/2026 04:00:00,45824,,SPP
07/19/2026 23:00:00,07/20/2026 04:00:00,4132,,SWPW
07/19/2026 22:00:00,07/20/2026 03:00:00,48301,,SPP
07/19/2026 22:00:00,07/20/2026 03:00:00,4326,,SWPW
07/19/2026 21:00:00,07/20/2026 02:00:00,50306,,SPP
07/19/2026 21:00:00,07/20/2026 02:00:00,4474,,SWPW
07/19/2026 20:00:00,07/20/2026 01:00:00,52351,,SPP
07/19/2026 20:00:00,07/20/2026 01:00:00,4592,,SWPW
07/19/2026 19:00:00,07/20/2026 00:00:00,53589,,SPP
07/19/2026 19:00:00,07/20/2026 00:00:00,4633,,SWPW
07/19/2026 18:00:00,07/19/2026 23:00:00,53720,,SPP
07/19/2026 18:00:00,07/19/2026 23:00:00,4575,,SWPW
07/19/2026 17:00:00,07/19/2026 22:00:00,53225,,SPP
07/19/2026 17:00:00,07/19/2026 22:00:00,4466,,SWPW
07/19/2026 16:00:00,07/19/2026 21:00:00,52364,,SPP
07/19/2026 16:00:00,07/19/2026 21:00:00,4339,,SWPW
07/19/2026 15:00:00,07/19/2026 20:00:00,51264,,SPP
07/19/2026 15:00:00,07/19/2026 20:00:00,4137,,SWPW
07/19/2026 14:00:00,07/19/2026 19:00:00,49901,,SPP
07/19/2026 14:00:00,07/19/2026 19:00:00,3967,,SWPW
07/19/2026 13:00:00,07/19/2026 18:00:00,47996,,SPP
07/19/2026 13:00:00,07/19/2026 18:00:00,3748,,SWPW
07/19/2026 12:00:00,07/19/2026 17:00:00,45632,,SPP
07/19/2026 12:00:00,07/19/2026 17:00:00,3524,,SWPW
07/19/2026 11:00:00,07/19/2026 16:00:00,42893,,SPP
07/19/2026 11:00:00,07/19/2026 16:00:00,3325,,SWPW
07/19/2026 10:00:00,07/19/2026 15:00:00,40154,,SPP
07/19/2026 10:00:00,07/19/2026 15:00:00,3136,,SWPW
07/19/2026 09:00:00,07/19/2026 14:00:00,37320,,SPP
07/19/2026 09:00:00,07/19/2026 14:00:00,2972,,SWPW
07/19/2026 08:00:00,07/19/2026 13:00:00,34935,,SPP
07/19/2026 08:00:00,07/19/2026 13:00:00,2897,,SWPW
07/19/2026 07:00:00,07/19/2026 12:00:00,34137,,SPP
07/19/2026 07:00:00,07/19/2026 12:00:00,2897,,SWPW
07/19/2026 06:00:00,07/19/2026 11:00:00,34475,,SPP
07/19/2026 06:00:00,07/19/2026 11:00:00,2960,,SWPW
07/19/2026 05:00:00,07/19/2026 10:00:00,34906,,SPP
07/19/2026 05:00:00,07/19/2026 10:00:00,3036,,SWPW
07/19/2026 04:00:00,07/19/2026 09:00:00,35657,,SPP
07/19/2026 04:00:00,07/19/2026 09:00:00,3117,,SWPW
